,order_id,item_id,product_id,quantity,list_price,discount,Timestamp,EGP Rate,list_price_egp,product_name,brand_id,category_id,model_year,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,Timestamp,order_year,late_delivery,latency days,day,weekend
0,1.0,1,20.0,1.0,599.99,0.2,2024-05-02 01:40:16.045001,47.6735,28603.623265,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,6.0,True
1,1.0,2,8.0,2.0,1799.99,0.07,2024-05-02 01:40:16.045001,47.6735,85811.823265,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,6.0,True
2,1.0,3,10.0,2.0,1549.0,0.05,2024-05-02 01:40:16.045001,47.6735,73846.2515,Surly Straggler - 2016,8,4,2016,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,6.0,True
3,1.0,4,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001,47.6735,28603.623265,Electra Townie Original 7D EQ - 2016,1,3,2016,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,6.0,True
4,1.0,5,4.0,1.0,2899.99,0.2,2024-05-02 01:40:16.045001,47.6735,138252.673265,Trek Fuel EX 8 29 - 2016,9,6,2016,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,6.0,True
5,2.0,1,20.0,1.0,599.99,0.07,2024-05-02 01:40:16.045001,47.6735,28603.623265,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-05-02 00:55:47.043606,2016.0,False,1 days 00:00:00,6.0,True
6,2.0,2,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001,47.6735,28603.623265,Electra Townie Original 7D EQ - 2016,1,3,2016,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-05-02 00:55:47.043606,2016.0,False,1 days 00:00:00,6.0,True
7,3.0,1,3.0,1.0,999.99,0.05,2024-05-02 01:40:16.045001,47.6735,47673.023265,Surly Wednesday Frameset - 2016,8,6,2016,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-05-02 00:55:47.043606,2016.0,False,2 days 00:00:00,6.0,True
8,3.0,2,20.0,1.0,599.99,0.05,2024-05-02 01:40:16.045001,47.6735,28603.623265,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-05-02 00:55:47.043606,2016.0,False,2 days 00:00:00,6.0,True
9,4.0,1,2.0,2.0,749.99,0.1,2024-05-02 01:40:16.045001,47.6735,35754.648265,Ritchey Timberwolf Frameset - 2016,5,6,2016,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,2024-05-02 00:55:47.043606,2016.0,True,-1 days +00:00:00,1.0,False
10,5.0,1,10.0,2.0,1549.0,0.05,2024-05-02 01:40:16.045001,47.6735,73846.2515,Surly Straggler - 2016,8,4,2016,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,2.0,False
11,5.0,2,17.0,1.0,429.0,0.07,2024-05-02 01:40:16.045001,47.6735,20451.9315,Pure Cycles Vine 8-Speed - 2016,4,3,2016,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,2.0,False
12,5.0,3,26.0,1.0,599.99,0.07,2024-05-02 01:40:16.045001,47.6735,28603.623265,Electra Townie Original 7D EQ - 2016,1,2,2016,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,2.0,False
13,13.0,1,13.0,1.0,269.99,0.1,2024-05-02 01:40:16.045001,47.6735,12871.368265,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,0.0,True
14,13.0,2,17.0,2.0,429.0,0.05,2024-05-02 01:40:16.045001,47.6735,20451.9315,Pure Cycles Vine 8-Speed - 2016,4,3,2016,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,0.0,True
15,13.0,3,20.0,2.0,599.99,0.1,2024-05-02 01:40:16.045001,47.6735,28603.623265,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,0.0,True
16,13.0,4,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001,47.6735,28603.623265,Electra Townie Original 7D EQ - 2016,1,3,2016,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-05-02 00:55:47.043606,2016.0,True,0 days 00:00:00,0.0,True
17,14.0,1,6.0,1.0,469.99,0.07,2024-05-02 01:40:16.045001,47.6735,22406.068265,Surly Ice Cream Truck Frameset - 2016,8,6,2016,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,2024-05-02 00:55:47.043606,2016.0,True,-1 days +00:00:00,1.0,False
