store_id,product_id,quantity,Timestamp
1,1,27,2024-05-02 00:55:47.044600
1,2,5,2024-05-02 00:55:47.044600
1,3,6,2024-05-02 00:55:47.044600
1,4,23,2024-05-02 00:55:47.044600
1,5,22,2024-05-02 00:55:47.044600
1,6,0,2024-05-02 00:55:47.044600
1,7,8,2024-05-02 00:55:47.044600
1,8,0,2024-05-02 00:55:47.044600
1,9,11,2024-05-02 00:55:47.044600
1,10,15,2024-05-02 00:55:47.044600
1,11,8,2024-05-02 00:55:47.044600
1,12,16,2024-05-02 00:55:47.044600
1,13,13,2024-05-02 00:55:47.044600
1,14,8,2024-05-02 00:55:47.044600
1,15,3,2024-05-02 00:55:47.044600
1,16,4,2024-05-02 00:55:47.044600
1,17,2,2024-05-02 00:55:47.044600
1,18,16,2024-05-02 00:55:47.044600
1,19,4,2024-05-02 00:55:47.044600
1,20,26,2024-05-02 00:55:47.044600
1,21,24,2024-05-02 00:55:47.044600
1,22,29,2024-05-02 00:55:47.044600
1,23,9,2024-05-02 00:55:47.044600
1,24,10,2024-05-02 00:55:47.044600
1,25,10,2024-05-02 00:55:47.044600
1,26,16,2024-05-02 00:55:47.044600
1,27,21,2024-05-02 00:55:47.044600
1,28,20,2024-05-02 00:55:47.044600
1,29,13,2024-05-02 00:55:47.044600
1,30,30,2024-05-02 00:55:47.044600
1,31,2,2024-05-02 00:55:47.044600
1,32,0,2024-05-02 00:55:47.044600
1,33,10,2024-05-02 00:55:47.044600
1,34,2,2024-05-02 00:55:47.044600
1,35,18,2024-05-02 00:55:47.044600
1,36,26,2024-05-02 00:55:47.044600
1,37,12,2024-05-02 00:55:47.044600
1,38,13,2024-05-02 00:55:47.044600
1,39,2,2024-05-02 00:55:47.044600
1,40,24,2024-05-02 00:55:47.044600
1,41,10,2024-05-02 00:55:47.044600
1,42,0,2024-05-02 00:55:47.044600
1,43,2,2024-05-02 00:55:47.044600
1,44,1,2024-05-02 00:55:47.044600
1,45,15,2024-05-02 00:55:47.044600
1,46,19,2024-05-02 00:55:47.044600
1,47,21,2024-05-02 00:55:47.044600
