order_id,item_id,product_id,quantity,list_price,discount,Timestamp,EGP Rate,list_price_egp
1.0,1,20.0,1.0,599.99,0.2,2024-05-02 01:40:16.045001,47.6735,28603.623265
1.0,2,8.0,2.0,1799.99,0.07,2024-05-02 01:40:16.045001,47.6735,85811.823265
1.0,3,10.0,2.0,1549.0,0.05,2024-05-02 01:40:16.045001,47.6735,73846.2515
1.0,4,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001,47.6735,28603.623265
1.0,5,4.0,1.0,2899.99,0.2,2024-05-02 01:40:16.045001,47.6735,138252.673265
2.0,1,20.0,1.0,599.99,0.07,2024-05-02 01:40:16.045001,47.6735,28603.623265
2.0,2,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001,47.6735,28603.623265
3.0,1,3.0,1.0,999.99,0.05,2024-05-02 01:40:16.045001,47.6735,47673.023264999996
3.0,2,20.0,1.0,599.99,0.05,2024-05-02 01:40:16.045001,47.6735,28603.623265
4.0,1,2.0,2.0,749.99,0.1,2024-05-02 01:40:16.045001,47.6735,35754.648264999996
5.0,1,10.0,2.0,1549.0,0.05,2024-05-02 01:40:16.045001,47.6735,73846.2515
5.0,2,17.0,1.0,429.0,0.07,2024-05-02 01:40:16.045001,47.6735,20451.9315
5.0,3,26.0,1.0,599.99,0.07,2024-05-02 01:40:16.045001,47.6735,28603.623265
6.0,1,18.0,1.0,449.0,0.07,2024-05-02 01:40:16.045001,47.6735,21405.4015
6.0,2,12.0,2.0,549.99,0.05,2024-05-02 01:40:16.045001,47.6735,26219.948265
6.0,3,20.0,1.0,599.99,0.1,2024-05-02 01:40:16.045001,47.6735,28603.623265
6.0,4,3.0,2.0,999.99,0.07,2024-05-02 01:40:16.045001,47.6735,47673.023264999996
6.0,5,9.0,2.0,2999.99,0.07,2024-05-02 01:40:16.045001,47.6735,143020.02326499997
7.0,1,15.0,1.0,529.99,0.07,2024-05-02 01:40:16.045001,47.6735,25266.478264999998
7.0,2,3.0,1.0,999.99,0.1,2024-05-02 01:40:16.045001,47.6735,47673.023264999996
7.0,3,17.0,2.0,429.0,0.1,2024-05-02 01:40:16.045001,47.6735,20451.9315
8.0,1,22.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001,47.6735,12871.368265
8.0,2,20.0,2.0,599.99,0.07,2024-05-02 01:40:16.045001,47.6735,28603.623265
9.0,1,7.0,2.0,3999.99,0.1,2024-05-02 01:40:16.045001,47.6735,190693.52326499997
10.0,1,14.0,1.0,269.99,0.1,2024-05-02 01:40:16.045001,47.6735,12871.368265
11.0,1,8.0,1.0,1799.99,0.05,2024-05-02 01:40:16.045001,47.6735,85811.823265
11.0,2,22.0,2.0,269.99,0.1,2024-05-02 01:40:16.045001,47.6735,12871.368265
11.0,3,16.0,2.0,599.99,0.2,2024-05-02 01:40:16.045001,47.6735,28603.623265
12.0,1,4.0,2.0,2899.99,0.1,2024-05-02 01:40:16.045001,47.6735,138252.673265
12.0,2,11.0,1.0,1680.99,0.05,2024-05-02 01:40:16.045001,47.6735,80138.676765
13.0,1,13.0,1.0,269.99,0.1,2024-05-02 01:40:16.045001,47.6735,12871.368265
13.0,2,17.0,2.0,429.0,0.05,2024-05-02 01:40:16.045001,47.6735,20451.9315
13.0,3,20.0,2.0,599.99,0.1,2024-05-02 01:40:16.045001,47.6735,28603.623265
13.0,4,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001,47.6735,28603.623265
14.0,1,6.0,1.0,469.99,0.07,2024-05-02 01:40:16.045001,47.6735,22406.068264999998
15.0,1,12.0,2.0,549.99,0.07,2024-05-02 01:40:16.045001,47.6735,26219.948265
15.0,2,8.0,1.0,1799.99,0.07,2024-05-02 01:40:16.045001,47.6735,85811.823265
15.0,3,18.0,2.0,449.0,0.05,2024-05-02 01:40:16.045001,47.6735,21405.4015
15.0,4,23.0,2.0,299.99,0.2,2024-05-02 01:40:16.045001,47.6735,14301.573264999999
16.0,1,8.0,1.0,1799.99,0.2,2024-05-02 01:40:16.045001,47.6735,85811.823265
16.0,2,21.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001,47.6735,12871.368265
16.0,3,13.0,2.0,269.99,0.07,2024-05-02 01:40:16.045001,47.6735,12871.368265
16.0,4,14.0,1.0,269.99,0.07,2024-05-02 01:40:16.045001,47.6735,12871.368265
17.0,1,8.0,1.0,1799.99,0.07,2024-05-02 01:40:16.045001,47.6735,85811.823265
17.0,2,23.0,1.0,299.99,0.1,2024-05-02 01:40:16.045001,47.6735,14301.573264999999
17.0,3,5.0,1.0,1320.99,0.1,2024-05-02 01:40:16.045001,47.6735,62976.216765
17.0,4,20.0,2.0,599.99,0.2,2024-05-02 01:40:16.045001,47.6735,28603.623265
18.0,1,2.0,2.0,749.99,0.2,2024-05-02 01:40:16.045001,47.6735,35754.648264999996
18.0,2,22.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001,47.6735,12871.368265
18.0,3,7.0,1.0,3999.99,0.1,2024-05-02 01:40:16.045001,47.6735,190693.52326499997
18.0,4,25.0,2.0,499.99,0.05,2024-05-02 01:40:16.045001,47.6735,23836.273265
18.0,5,9.0,2.0,2999.99,0.1,2024-05-02 01:40:16.045001,47.6735,143020.02326499997
19.0,1,10.0,1.0,1549.0,0.07,2024-05-02 01:40:16.045001,47.6735,73846.2515
19.0,2,9.0,2.0,2999.99,0.2,2024-05-02 01:40:16.045001,47.6735,143020.02326499997
20.0,1,9.0,1.0,2999.99,0.07,2024-05-02 01:40:16.045001,47.6735,143020.02326499997
20.0,2,10.0,2.0,1549.0,0.07,2024-05-02 01:40:16.045001,47.6735,73846.2515
21.0,1,14.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001,47.6735,12871.368265
21.0,2,17.0,1.0,429.0,0.1,2024-05-02 01:40:16.045001,47.6735,20451.9315
21.0,3,10.0,1.0,1549.0,0.07,2024-05-02 01:40:16.045001,47.6735,73846.2515
22.0,1,15.0,2.0,529.99,0.2,2024-05-02 01:40:16.045001,47.6735,25266.478264999998
22.0,2,22.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001,47.6735,12871.368265
23.0,1,4.0,2.0,2899.99,0.05,2024-05-02 01:40:16.045001,47.6735,138252.673265
23.0,2,23.0,2.0,299.99,0.1,2024-05-02 01:40:16.045001,47.6735,14301.573264999999
23.0,3,13.0,1.0,269.99,0.2,2024-05-02 01:40:16.045001,47.6735,12871.368265
24.0,1,3.0,2.0,999.99,0.1,2024-05-02 01:40:16.045001,47.6735,47673.023264999996
24.0,2,18.0,2.0,449.0,0.07,2024-05-02 01:40:16.045001,47.6735,21405.4015
25.0,1,23.0,2.0,299.99,0.2,2024-05-02 01:40:16.045001,47.6735,14301.573264999999
25.0,2,10.0,2.0,1549.0,0.2,2024-05-02 01:40:16.045001,47.6735,73846.2515
25.0,3,22.0,1.0,269.99,0.2,2024-05-02 01:40:16.045001,47.6735,12871.368265
25.0,4,14.0,1.0,269.99,0.2,2024-05-02 01:40:16.045001,47.6735,12871.368265
25.0,5,21.0,1.0,269.99,0.1,2024-05-02 01:40:16.045001,47.6735,12871.368265
26.0,1,7.0,1.0,3999.99,0.05,2024-05-02 01:40:16.045001,47.6735,190693.52326499997
26.0,2,2.0,1.0,749.99,0.2,2024-05-02 01:40:16.045001,47.6735,35754.648264999996
26.0,3,12.0,1.0,549.99,0.2,2024-05-02 01:40:16.045001,47.6735,26219.948265
26.0,4,21.0,2.0,269.99,0.07,2024-05-02 01:40:16.045001,47.6735,12871.368265
27.0,1,5.0,1.0,1320.99,0.2,2024-05-02 01:40:16.045001,47.6735,62976.216765
27.0,2,19.0,1.0,449.0,0.2,2024-05-02 01:40:16.045001,47.6735,21405.4015
27.0,3,26.0,2.0,599.99,0.07,2024-05-02 01:40:16.045001,47.6735,28603.623265
27.0,4,8.0,1.0,1799.99,0.07,2024-05-02 01:40:16.045001,47.6735,85811.823265
28.0,1,5.0,1.0,1320.99,0.05,2024-05-02 01:40:16.045001,47.6735,62976.216765
28.0,2,7.0,2.0,3999.99,0.2,2024-05-02 01:40:16.045001,47.6735,190693.52326499997
28.0,3,14.0,2.0,269.99,0.1,2024-05-02 01:40:16.045001,47.6735,12871.368265
28.0,4,6.0,1.0,469.99,0.05,2024-05-02 01:40:16.045001,47.6735,22406.068264999998
29.0,1,24.0,2.0,549.99,0.05,2024-05-02 01:40:16.045001,47.6735,26219.948265
29.0,2,6.0,1.0,469.99,0.2,2024-05-02 01:40:16.045001,47.6735,22406.068264999998
29.0,3,21.0,2.0,269.99,0.1,2024-05-02 01:40:16.045001,47.6735,12871.368265
29.0,4,8.0,1.0,1799.99,0.2,2024-05-02 01:40:16.045001,47.6735,85811.823265
29.0,5,14.0,2.0,269.99,0.05,2024-05-02 01:40:16.045001,47.6735,12871.368265
30.0,1,26.0,1.0,599.99,0.05,2024-05-02 01:40:16.045001,47.6735,28603.623265
30.0,2,17.0,1.0,429.0,0.07,2024-05-02 01:40:16.045001,47.6735,20451.9315
